X,Y,FID,MSOA21CD,GlobalID
517093.2069,185771.486300001,218,E02000105,6bdafe3d-3ef3-4608-a7c0-02ad8d839ac7
536194.6255,173769.049699999,219,E02000671,512384e1-26c6-4867-856b-a9e8824b74a6
595436.0454,162400.645199999,220,E02005130,3fbec02b-c150-4426-b097-119e2b644dc2
460687.5674,151432.3651,221,E02004687,b43f5887-40e2-4845-9235-7cd4e2dba190
247897.9242,139912.9036,222,E02004178,bd78ad74-a65f-4950-8e14-efe58ba5a6ea
206109.6561,66818.7905999999,223,E02003942,340a521b-ded4-4255-872e-635cbf50c315
553525.4384,182828.634299999,224,E02000492,a4f3513d-668d-4368-8e70-44180039af8a
473182.6918,173372.3572,225,E02003398,07985095-3904-4cef-9a66-9cbc67b94f1a
538363.0213,190393.646400001,226,E02000904,d3416e0d-a5ee-4c90-acf2-50a9303f56b6
412569.0785,93207.0711000003,227,E02003182,242ed5ad-f084-437d-88de-f5a89187734f
407035.1553,280718.0155,228,E02001936,0127fd99-5094-451e-a799-d9dcee720373
466894.2174,171650.4146,229,E02003374,c63428f4-944b-443a-98bb-fa5301f1d554
463763.2318,106207.4125,230,E02003524,75f90c88-b8ae-467c-b773-878190fa6c03
506552.6021,177814.674900001,231,E02000524,863dedfd-5600-4b33-bbc7-a34f2d41d584
400278.3356,161203.6415,232,E02006638,31182391-3ba8-44b4-ae2e-d41ca40bcbc4
541411.7145,110590.657600001,233,E02004381,0666faa7-4532-4938-8e6d-a43086786645
509689.5615,168832.8862,234,E02006413,19dac961-00ca-4038-9ce7-b594344544d7
415621.2922,105109.869999999,235,E02004790,760eeccd-7976-4adb-a503-7c0027aa57ac
523240.7512,158546.57,236,E02006377,2813d045-ed81-4035-9bba-343052567045
540376.9733,173276.679300001,237,E02000675,1ff64fb0-bae6-482a-99ff-4d7933d89d5a
417014.4076,184739.3465,238,E02003227,f1eb8321-5d80-40bc-b03b-c7f22428f3b6
554952.3318,191935.0888,239,E02000465,cb8b0c3f-469c-4c63-8b5e-43b3b150bfba
517215.0701,156463.8565,240,E02006365,fa5ae4d7-8993-4ee6-a6f0-0931b7b3a9be
527851.1996,172014.8059,241,E02000954,3cf3dea1-f8cc-4dda-9aa1-946d9f08e71f
527514.587,151014.4739,242,E02006384,22958a1d-4a33-46b5-b7b1-2cf4ad2f1206
413912.0907,144259.4299,243,E02006661,3e683f08-1f7c-469a-a053-8bb08aaf903a
249159.499,54568.3717999998,244,E02003149,94a0a21f-83da-4da3-a677-77cf91fce58b
473332.9994,98868.1785000004,245,E02004778,185ae68c-e8ea-4f9e-9b52-f6f61b121cb9
553876.0366,187143.765000001,246,E02000483,35b1c56f-cdd9-448e-8400-36305ed86183
407287.7962,290429.977700001,247,E02001859,e8def4bf-acac-4e7d-8aa9-982abc0c1b8b
409428.7295,291017.753900001,248,E02001856,1a11150c-97cb-4c30-ba69-2f18cdf606b6
399034.4102,278402.554199999,249,E02001951,718f1bbf-806d-47fa-8279-44c5e51108fe
428693.0046,99892.6447000001,250,E02004793,9a6de996-e17f-47f1-9ea3-3963fac332c4
530145.0136,119671.183599999,251,E02006615,dba3b46b-74af-4e07-b9cc-e617fe79bb99
637578.3747,152186.591499999,252,E02005044,c5d62bbf-66e5-4d29-a256-33b8917e8882
295455.5085,91647.6605999991,253,E02004159,e7550a63-7b54-4603-9146-28fcaa6c4f26
525297.4305,179198.155400001,254,E02000587,48ff98a6-ee76-4125-aba2-541fe129e98c
487694.1998,104112.185000001,255,E02006572,7fa7cc5c-6f9c-4e3c-ace4-cda026411acd
533391.8837,104713.478700001,256,E02003515,cf6d722b-f77a-48d3-b9f4-26ac83d99caa
528114.536,169416.617900001,257,E02000701,d0bbd015-ae05-41bc-8319-bd4d33bb66a9
357461.1644,173963.3948,258,E02003037,8c2ca5ed-144c-4e86-badb-b3b2f49138af
512230.688,179144.220699999,259,E02006970,8e70d692-9c71-4fdf-81db-f353a7cfea74
521104.8123,116040.133300001,260,E02006601,562597c0-954e-479d-ae05-061d9e7af69d
532690.1001,156532.1677,261,E02006430,29dea0f7-449f-4ec0-a738-4b4e888e0a76
523657.6968,191919.3781,262,E02000040,e76d7d4d-069a-456f-866e-efe16f76700d
447881.0591,129539.657199999,263,E02004835,302aa904-bb6a-4ac8-a199-27e975450e76
357812.8599,175551.5228,264,E02003028,6c9b5e73-9d01-4bb1-b3b2-0bb6817c38ec
294005.935,91492.1855999995,265,E02004161,0841a3cf-065f-45a6-a0a3-53ac00feaaaf
288064.2995,67997.1170000006,266,E02004218,abdf8aba-6b6a-457f-a2f2-4b5941a38c3a
465375.9355,103671.0341,267,E02003530,7580ff39-9201-4f31-a3c5-45b8da7ef308
520109.309,150157.573000001,268,E02006369,6fb759f9-aba3-43ad-985f-fb076b0866ca
155517.4166,32610.7199000008,269,E02003946,8bd4253c-f5ed-433d-b5b4-a9dfe19d79db
327765.5011,200921.948000001,270,W02000326,2b85f859-4504-42c0-90c9-ae59eae70eb6
347692.9935,188213.501599999,271,W02000345,aa799388-12c4-4977-bab8-1f848d526b25
528972.4496,159082.4223,272,E02000236,e35d3c0f-c460-4a5d-809c-305f31be12aa
572237.821,168451.041300001,273,E02003324,5fc8c45d-4895-4336-8cf7-c57c03e7c655
443920.4113,115871.569,274,E02003551,44535b11-d554-4a0a-9799-a47360c881a6
402067.5016,285058.924900001,275,E02001899,e6e8384b-bd87-490d-9c57-b136999b717e
527704.1037,171079.313899999,276,E02000957,08b5f105-8810-49c6-bd6d-acc9b6dfaede
513582.0064,182079.854599999,277,E02000251,7a00191b-ec6b-4a06-a478-2db7d0f5b4dd
528201.1895,184019.471899999,278,E02000183,664771f5-b073-40df-b492-1909bf0feed8
513698.5483,175382.693700001,279,E02000543,a8a460ae-27da-4dbf-ac47-eda55822f88e
398628.9453,91454.2279000003,280,E02003207,7ed2b8d8-5d6e-4976-b564-c1854ad256f8
444912.0772,109950.1394,281,E02003580,8baff7c7-1a29-4c25-8309-c07a5d58e425
525593.4738,176025.296700001,282,E02000396,c381635d-5eaa-4b1a-bf16-d708fcf55ccc
418178.96,92562.9426000006,283,E02004242,26d7e84b-44c4-44d7-90bf-6e4aa1cca778
521440.3848,184286.806299999,284,E02000117,88c19d35-8f8b-49c7-9c8e-cedcf79f32d7
532368.4109,103930.4352,285,E02003521,82437bc0-9d33-4f70-abb9-8aa1e8ebcc5b
536285.095,178619.497400001,286,E02000653,130ff903-ca63-4384-888c-4b6231813a76
343552.188,159009.640699999,287,E02003088,86718df2-d820-4d80-8ba6-7a5893bec97a
484026.4348,149026.486300001,288,E02006440,b2473be5-b948-4867-b155-5ddc75f1370a
535355.7543,179463.75,289,E02000813,1bc17ba1-7c11-4b01-ab59-426b55791501
335690.717,162566.663899999,290,E02003080,c9537f27-0e18-4cd7-932a-41911082ea00
508674.2284,181310.4978,291,E02000517,ec3988da-bc3e-47a6-8714-da0889654336
515983.6532,176244.601,292,E02000539,372e661c-81c5-4232-8c63-afa39d7a3b94
324159.0268,124366.9241,293,E02006107,8d4f6c89-26c2-46da-b972-cc3d1bd3b97c
531639.8564,139047.4081,294,E02006605,973162af-e11a-4570-b923-37cd92f52b0f
532300.0325,179171.4989,295,E02000815,9007e7a8-a6b2-485d-a6c9-fadec5892db3
275293.0043,69405.4828999992,296,E02004217,938d8a2d-c9c4-4c1f-b6d1-b3614ec9dabd
