Scotland's Census 2011 - National Records of Scotland
Table QS415SC - Central heating
All occupied household spaces

,"All occupied household spaces","No central heating","Gas central heating","Electric (including storage heaters) central heating","Oil central heating","Solid fuel (for example wood, coal) central heating","Other central heating","Two or more types of central heating"
"S01008444",260,3,202,52,-,-,1,2
"S01008445",403,4,340,45,4,-,3,7
"S01008446",323,2,312,3,2,-,1,3
"S01008447",286,6,269,7,2,-,-,2
"S01008448",315,2,300,5,3,-,2,3
"S01008449",351,7,290,35,-,-,1,18
"S01008450",256,4,208,37,-,-,-,7
"S01008451",325,5,269,37,-,1,-,13
"S01008452",271,3,217,39,-,-,-,12
"S01008453",215,2,53,155,-,-,1,4
"S01008454",393,8,297,78,-,-,-,10
"S01008455",501,4,351,129,-,-,2,15
"S01008456",528,19,265,231,-,-,2,11
"S01008457",353,6,314,19,-,-,1,13
"S01008458",428,9,378,33,-,-,1,7
"S01008459",393,17,324,27,-,-,-,25
"S01008460",368,2,342,4,-,-,3,17
"S01008461",450,9,397,11,-,-,2,31
"S01008462",349,1,99,245,-,-,1,3
"S01008463",355,6,319,9,-,-,1,20
"S01008464",413,16,369,18,-,-,-,10
"S01008465",346,14,301,21,-,-,-,10
"S01008466",318,9,280,22,-,-,2,5
"S01008467",330,6,303,18,-,-,-,3
"S01008468",232,4,206,13,-,-,1,8
"S01008469",229,3,210,6,-,-,-,10
"S01008470",298,7,259,14,-,-,1,17
"S01008471",347,4,313,13,-,-,2,15
"S01008472",277,3,223,44,-,-,-,7
"S01008473",307,8,266,19,-,-,3,11
"S01008474",440,14,370,30,-,-,5,21
"S01008475",327,2,301,13,-,-,1,10
"S01008476",406,3,383,5,-,1,2,12
"S01008477",465,3,423,24,-,1,3,11
"S01008478",439,2,313,114,-,-,1,9
"S01008479",407,7,372,13,-,-,1,14
"S01008480",279,3,251,17,-,-,-,8
"S01008481",373,7,324,25,1,1,4,11
"S01008482",316,8,275,21,1,-,2,9
"S01008483",327,5,270,40,-,-,1,11
"S01008484",342,9,312,11,-,-,-,10
"S01008485",408,6,374,17,-,-,1,10
"S01008486",459,8,404,38,-,-,1,8
"S01008487",417,13,351,35,-,-,-,18
"S01008488",416,9,376,15,-,1,-,15
"S01008489",305,9,244,47,-,-,-,5
"S01008490",528,36,446,30,-,-,1,15
"S01008491",487,24,302,149,-,-,3,9
"S01008492",515,21,342,111,-,1,30,10
"S01008493",420,19,294,87,4,-,10,6
"S01008494",409,65,271,57,-,1,2,13
"S01008495",589,112,380,76,-,-,2,19
"S01008496",676,157,393,103,-,1,2,20
"S01008497",572,134,294,129,-,-,-,15
"S01008498",525,92,311,109,-,-,2,11
"S01008499",591,85,395,85,1,-,1,24
"S01008500",209,3,108,95,-,-,1,2
"S01008501",316,8,267,30,-,-,4,7
"S01008502",373,31,307,32,-,-,-,3
"S01008503",443,23,308,99,-,-,-,13
"S01008504",543,33,448,51,1,1,1,8
"S01008505",330,16,288,17,-,1,-,8
"S01008506",442,21,328,88,-,-,1,4
"S01008507",386,15,309,55,-,1,-,6
"S01008508",358,4,338,14,-,-,-,2
"S01008509",509,5,462,32,-,-,-,10
"S01008510",390,5,369,9,1,-,1,5
"S01008511",358,1,344,10,-,-,1,2
"S01008512",201,2,196,2,-,-,-,1
"S01008513",258,2,246,4,-,-,1,5
"S01008514",397,8,312,74,-,-,-,3
"S01008515",297,8,275,12,-,-,-,2
"S01008516",592,72,265,246,1,-,-,8
"S01008517",463,12,345,99,-,-,-,7
"S01008518",378,10,309,55,1,-,-,3
"S01008519",324,10,270,41,1,-,-,2
"S01008520",433,1,415,11,2,-,-,4
"S01008521",338,2,321,7,3,-,-,5
"S01008522",228,-,221,2,-,-,-,5
"S01008523",434,4,423,3,-,-,-,4
"S01008524",442,21,366,47,-,-,1,7
"S01008525",380,6,349,12,-,-,-,13
"S01008526",448,18,370,55,-,-,1,4
"S01008527",333,10,297,21,-,-,-,5
"S01008528",304,10,273,18,-,-,-,3
"S01008529",349,22,307,14,-,-,-,6
"S01008530",369,18,326,18,-,-,-,7
"S01008531",394,9,336,35,-,-,2,12
"S01008532",213,10,175,22,-,1,-,5
"S01008533",179,1,158,4,1,-,1,14
"S01008534",274,-,247,23,-,-,-,4
"S01008535",284,1,271,6,-,-,3,3
"S01008536",263,6,233,22,2,-,-,-
"S01008537",280,2,271,4,1,-,-,2
"S01008538",242,3,231,6,1,-,-,1
"S01008539",346,7,301,36,-,-,-,2
"S01008540",373,5,349,13,2,-,1,3
"S01008541",323,3,315,4,-,-,-,1
"S01008542",337,3,326,5,-,-,-,3
"S01008543",259,3,253,-,-,-,-,3
"S01008544",216,8,196,11,-,-,-,1
"S01008545",334,3,315,8,2,2,1,3
"S01008546",337,1,330,4,-,-,-,2
"S01008547",424,3,339,76,-,-,2,4
"S01008548",347,4,272,61,1,1,-,8
"S01008549",439,20,314,79,20,-,2,4
"S01008550",346,10,314,18,1,-,-,3
"S01008551",496,10,459,16,-,1,1,9
"S01008552",383,8,295,66,11,-,-,3
"S01008553",244,4,221,12,-,-,2,5
"S01008554",368,6,336,16,-,-,1,9
"S01008555",528,14,466,30,-,-,4,14
"S01008556",346,9,313,16,-,-,-,8
"S01008557",429,7,359,31,-,4,12,16
"S01008558",433,19,335,63,-,-,4,12
"S01008559",295,11,267,9,-,-,1,7
"S01008560",295,7,267,17,-,1,1,2
"S01008561",277,7,239,19,1,1,-,10
"S01008562",344,4,262,60,1,-,4,13
"S01008563",369,13,338,8,-,-,1,9
"S01008564",315,10,269,28,-,-,2,6
"S01008565",414,5,388,11,-,-,3,7
"S01008566",433,7,387,29,1,3,-,6
"S01008567",289,2,272,12,-,1,-,2
"S01008568",350,7,216,122,-,-,3,2
"S01008569",400,12,75,308,-,-,-,5
"S01008570",426,8,240,166,-,-,4,8
"S01008571",323,1,297,14,-,-,4,7
"S01008572",346,5,324,10,-,-,2,5
"S01008573",321,1,280,37,-,-,-,3
"S01008574",293,2,270,18,-,-,-,3
"S01008575",335,3,324,3,1,-,-,4
"S01008576",386,8,338,34,-,-,2,4
"S01008577",363,1,298,53,2,-,-,9
"S01008578",291,4,274,7,1,-,-,5
"S01008579",301,7,281,9,1,-,-,3
"S01008580",261,6,231,19,-,-,1,4
"S01008581",464,15,386,47,-,-,3,13
"S01008582",486,16,434,22,2,-,1,11
"S01008583",352,5,323,13,-,-,3,8
"S01008584",394,9,360,15,-,1,1,8
"S01008585",249,7,223,10,-,-,2,7
"S01008586",360,14,312,26,-,-,-,8
"S01008587",316,4,296,7,1,-,-,8
"S01008588",344,4,267,69,-,-,-,4
"S01008589",172,1,160,10,-,-,1,-
"S01008590",413,8,303,94,1,-,-,7
"S01008591",327,6,302,12,1,-,-,6
"S01008592",356,9,319,19,-,1,1,7
"S01008593",309,4,291,11,1,-,-,2
"S01008594",428,9,406,8,1,1,-,3
"S01008595",508,3,438,50,-,-,-,17
"S01008596",455,5,405,31,-,-,-,14
"S01008597",388,4,374,6,-,-,-,4
"S01008598",329,9,279,35,-,-,-,6
"S01008599",366,8,342,7,1,-,1,7
"S01008600",306,12,235,54,2,-,-,3
"S01008601",314,9,252,42,1,-,2,8
"S01008602",323,11,214,95,-,-,-,3
"S01008603",544,45,413,72,1,-,-,13
"S01008604",418,11,351,51,-,-,1,4
"S01008605",337,21,290,23,1,-,-,2
"S01008606",287,3,269,14,-,-,-,1
"S01008607",283,3,261,11,3,-,2,3
"S01008608",326,5,279,40,-,-,-,2
"S01008609",410,10,327,63,4,1,1,4
"S01008610",416,9,261,141,-,-,-,5
"S01008611",592,53,419,109,-,1,3,7
"S01008612",376,20,321,29,1,-,1,4
"S01008613",371,19,279,68,-,-,3,2
"S01008614",307,16,260,20,2,-,-,9
"S01008615",331,18,282,24,-,-,-,7
"S01008616",259,13,232,11,-,-,-,3
"S01008617",281,5,259,13,-,-,-,4
"S01008618",267,9,239,15,-,-,-,4
"S01008619",203,6,186,8,-,-,-,3
"S01008620",290,8,258,18,-,-,-,6
"S01008621",272,12,243,12,-,-,-,5
"S01008622",200,9,176,11,-,-,-,4
"S01008623",343,5,317,12,-,-,1,8
"S01008624",346,4,324,11,1,1,2,3
"S01008625",239,3,233,-,-,-,-,3
"S01008626",388,9,362,10,-,-,-,7
"S01008627",256,3,243,5,-,-,-,5
"S01008628",262,5,237,18,-,-,-,2
"S01008629",301,12,259,27,-,-,-,3
"S01008630",277,15,184,72,-,1,1,4
"S01008631",453,37,364,44,1,-,-,7
"S01008632",420,29,358,21,-,-,-,12
"S01008633",452,9,341,97,1,-,2,2
"S01008634",276,12,243,14,-,-,-,7
"S01008635",362,7,335,12,1,-,1,6
"S01008636",367,10,311,38,-,-,-,8
"S01008637",309,12,273,17,1,-,-,6
"S01008638",344,7,283,37,2,-,4,11
"S01008639",430,27,371,25,-,-,-,7
"S01008640",351,13,316,12,-,-,-,10
"S01008641",351,12,315,13,-,-,-,11
"S01008642",433,19,390,18,-,-,-,6
"S01008643",323,17,288,14,-,-,-,4
"S01008644",386,21,246,113,-,-,1,5
"S01008645",360,12,284,57,-,1,1,5
"S01008646",453,42,364,37,-,-,1,9
"S01008647",330,28,207,91,-,-,1,3
"S01008648",339,25,216,91,-,-,1,6
"S01008649",560,91,305,150,-,-,1,13
"S01008650",470,79,332,42,-,-,5,12
"S01008651",497,51,316,111,-,-,-,19
"S01008652",387,70,193,110,-,-,1,13
"S01008653",402,47,232,107,-,-,1,15
"S01008654",585,87,365,115,1,1,1,15
"S01008655",442,29,274,117,-,-,4,18
"S01008656",426,60,292,60,-,-,1,13
"S01008657",361,27,188,142,-,-,-,4
"S01008658",555,56,431,54,-,-,-,14
"S01008659",446,35,351,46,-,-,1,13
"S01008660",444,17,363,53,-,1,1,9
"S01008661",437,55,265,109,-,-,-,8
"S01008662",276,22,225,20,-,-,1,8
"S01008663",434,50,297,77,-,-,2,8
"S01008664",396,50,293,42,-,-,2,9
"S01008665",524,48,339,116,-,-,-,21
"S01008666",311,19,264,16,1,-,1,10
"S01008667",308,17,250,34,-,-,-,7
"S01008668",280,38,202,29,-,-,2,9
"S01008669",173,5,155,9,-,-,1,3
"S01008670",260,18,208,28,-,-,3,3
"S01008671",331,36,239,54,-,-,-,2
"S01008672",341,29,202,102,-,-,-,8
"S01008673",649,53,448,126,-,-,3,19
"S01008674",413,61,230,100,-,-,7,15
"S01008675",476,66,206,190,-,-,3,11
"S01008676",338,17,271,43,1,-,-,6
"S01008677",420,44,260,101,-,1,1,13
"S01008678",393,29,232,119,1,-,1,11
"S01008679",546,35,317,172,-,-,2,20
"S01008680",326,41,195,84,-,-,1,5
"S01008681",540,13,437,72,1,-,1,16
"S01008682",431,33,237,153,-,-,1,7
"S01008683",576,34,439,82,1,-,1,19
"S01008684",532,38,281,201,1,-,1,10
"S01008685",489,34,315,115,1,-,5,19
"S01008686",585,49,401,127,1,-,-,7
"S01008687",419,85,230,92,1,-,-,11
"S01008688",457,57,355,32,-,-,3,10
"S01008689",548,86,397,58,1,-,1,5
"S01008690",598,60,461,62,-,-,3,12
"S01008691",678,107,469,86,-,-,1,15
"S01008692",391,35,183,164,-,-,1,8
"S01008693",224,4,211,7,-,-,-,2
"S01008694",537,49,434,49,-,-,1,4
"S01008695",338,12,297,23,-,-,2,4
"S01008696",285,8,246,27,-,-,-,4
"S01008697",453,10,425,14,-,-,-,4
"S01008698",209,-,192,13,-,1,-,3
"S01008699",470,22,346,90,1,-,2,9
"S01008700",248,8,226,8,1,1,-,4
"S01008701",200,1,165,25,-,-,-,9
"S01008702",312,15,259,13,3,1,5,16
"S01008703",456,10,309,126,-,-,-,11
"S01008704",307,2,275,13,4,-,1,12
"S01008705",236,2,197,24,-,-,3,10
"S01008706",243,1,216,11,-,-,2,13
"S01008707",387,3,314,43,-,-,2,25
"S01008708",452,30,287,65,-,-,15,55
"S01008709",299,4,233,52,-,-,-,10
"S01008710",208,1,196,4,-,-,1,6
"S01008711",353,9,294,27,-,-,-,23
"S01008712",499,4,440,31,-,3,1,20
"S01008713",292,12,255,12,-,-,2,11
"S01008714",297,15,252,20,1,-,2,7
"S01008715",367,11,331,15,-,-,-,10
"S01008716",295,4,239,41,-,1,2,8
"S01008717",181,2,172,3,-,-,-,4
"S01008718",222,11,146,63,1,-,-,1
"S01008719",420,10,383,20,-,-,-,7
"S01008720",243,11,212,5,4,3,1,7
"S01008721",310,2,267,40,-,-,-,1
"S01008722",480,9,441,25,-,1,-,4
"S01008723",257,5,242,3,1,-,-,6
"S01008724",400,5,370,16,1,-,2,6
"S01008725",343,13,257,70,-,-,1,2
"S01008726",241,3,225,10,-,-,-,3
"S01008727",454,20,344,76,1,1,-,12
"S01008728",229,8,160,54,-,-,-,7
"S01008729",277,10,255,7,-,-,-,5
"S01008730",411,54,315,32,1,1,-,8
"S01008731",226,9,191,21,-,-,-,5
"S01008732",340,26,209,100,-,-,-,5
"S01008733",473,52,204,211,-,1,-,5
"S01008734",266,6,180,78,-,-,-,2
"S01008735",385,3,367,12,1,-,-,2
"S01008736",290,2,275,11,-,-,-,2
"S01008737",339,3,304,27,1,-,-,4
"S01008738",299,-,287,6,1,-,-,5
"S01008739",240,5,225,7,-,-,2,1
"S01008740",227,5,203,14,-,-,-,5
"S01008741",395,5,368,20,-,-,-,2
"S01008742",280,12,133,126,-,-,-,9
"S01008743",485,19,361,93,-,-,-,12
"S01008744",519,8,470,27,-,3,1,10
"S01008745",241,8,148,79,-,-,-,6
"S01008746",572,31,467,60,-,-,1,13
"S01008747",234,-,170,63,-,-,1,-
"S01008748",283,3,267,11,-,-,-,2
"S01008749",402,1,378,16,-,1,4,2
"S01008750",313,3,297,8,-,1,-,4
"S01008751",304,5,274,12,2,1,1,9
"S01008752",459,9,401,35,-,-,1,13
"S01008753",314,4,293,12,-,-,-,5
"S01008754",362,11,276,67,-,-,-,8
"S01008755",541,36,426,61,-,-,2,16
"S01008756",418,14,345,36,-,-,2,21
"S01008757",397,6,346,20,1,-,3,21
"S01008758",444,2,388,39,-,-,2,13
"S01008759",322,2,297,9,-,-,3,11
"S01008760",500,11,316,154,-,-,-,19
"S01008761",295,-,273,8,-,-,1,13
"S01008762",301,14,238,45,-,-,-,4
"S01008763",433,21,394,10,-,-,2,6
"S01008764",306,6,279,12,-,-,2,7
"S01008765",393,26,327,34,1,-,-,5
"S01008766",413,11,373,19,1,-,-,9
"S01008767",266,9,231,22,-,-,-,4
"S01008768",256,13,215,19,-,-,-,9
"S01008769",380,3,258,113,-,-,1,5
"S01008770",431,10,258,153,-,-,1,9
"S01008771",411,3,357,16,-,2,13,20
"S01008772",395,18,344,25,1,-,-,7
"S01008773",596,55,449,70,-,1,2,19
"S01008774",495,37,365,64,-,-,2,27
"S01008775",218,19,172,19,-,-,-,8
"S01008776",467,53,347,52,-,-,4,11
"S01008777",637,52,349,227,-,-,1,8
"S01008778",664,34,403,211,-,-,1,15
"S01008779",402,6,319,67,-,-,-,10
"S01008780",329,10,135,176,-,-,1,7
"S01008781",530,28,400,76,-,-,-,26
"S01008782",400,12,235,143,-,-,-,10
"S01008783",236,16,132,83,-,-,-,5
"S01008784",268,12,89,164,-,-,2,1
"S01008785",485,22,300,127,-,-,8,28
"S01008786",540,87,274,160,-,-,3,16
"S01008787",200,17,18,163,-,-,-,2
"S01008788",376,26,241,94,1,-,1,13
"S01008789",375,22,305,39,1,-,3,5
"S01008790",353,27,253,55,1,-,1,16
"S01008791",421,18,345,45,-,-,-,13
"S01008792",415,29,341,31,1,-,2,11
"S01008793",266,28,162,64,-,-,2,10
"S01008794",492,17,281,181,2,-,5,6
"S01008795",618,81,460,55,-,1,-,21
"S01008796",622,91,357,157,-,-,2,15
"S01008797",579,77,373,116,-,-,1,12
"S01008798",502,54,371,61,-,-,2,14
"S01008799",322,2,294,13,-,-,2,11
"S01008800",651,121,444,70,-,-,4,12
"S01008801",582,68,378,126,-,1,1,8
"S01008802",614,99,375,118,1,-,4,17
"S01008803",575,67,431,51,-,1,-,25
"S01008804",332,61,200,57,-,1,2,11
"S01008805",334,47,184,92,-,-,1,10
"S01008806",558,43,371,123,-,-,2,19
"S01008807",490,63,334,82,-,-,1,10
"S01008808",391,22,278,84,-,-,-,7
"S01008809",324,16,270,28,2,-,-,8
"S01008810",383,28,320,29,-,-,1,5
"S01008811",389,30,321,32,-,1,-,5
"S01008812",260,21,225,9,-,-,-,5
"S01008813",508,31,359,109,-,-,1,8
"S01008814",403,26,324,38,1,-,-,14
"S01008815",557,49,299,193,-,-,1,15
"S01008816",321,20,146,144,-,-,4,7
"S01008817",425,25,316,73,-,-,2,9
"S01008818",371,10,332,19,-,-,2,8
"S01008819",368,22,325,17,-,-,-,4
"S01008820",616,40,457,96,-,2,1,20
"S01008821",271,11,229,27,-,-,1,3
"S01008822",286,9,261,12,-,-,-,4
"S01008823",269,2,254,9,-,-,-,4
"S01008824",510,20,395,91,-,1,1,2
"S01008825",296,15,250,27,2,-,-,2
"S01008826",378,29,304,26,-,-,5,14
"S01008827",273,10,250,9,-,-,-,4
"S01008828",439,21,356,55,1,-,1,5
"S01008829",297,6,272,11,-,-,1,7
"S01008830",334,10,281,39,-,-,-,4
"S01008831",359,2,334,22,-,-,-,1
"S01008832",350,5,321,21,1,-,-,2
"S01008833",526,18,404,94,-,-,-,10
"S01008834",519,9,478,20,1,-,-,11
"S01008835",407,5,380,17,-,-,1,4
"S01008836",413,20,350,29,-,-,2,12
"S01008837",630,85,469,57,-,1,3,15
"S01008838",606,54,454,80,-,-,-,18
"S01008839",549,38,467,35,-,-,1,8
"S01008840",510,30,445,25,4,-,-,6
"S01008841",291,11,166,109,-,-,-,5
"S01008842",433,4,387,26,-,-,-,16
"S01008843",464,34,366,54,-,-,1,9
"S01008844",355,6,320,11,-,-,1,17
"S01008845",420,6,359,39,1,-,2,13
"S01008846",386,13,339,30,-,-,-,4
"S01008847",263,5,218,34,-,-,1,5
"S01008848",384,14,332,30,2,-,1,5
"S01008849",396,24,312,43,1,-,-,16
"S01008850",401,13,337,38,-,-,2,11
"S01008851",634,35,491,86,1,-,4,17
"S01008852",503,8,447,35,1,-,-,12
"S01008853",352,29,239,73,-,-,2,9
"S01008854",483,29,394,47,-,-,3,10
"S01008855",620,37,509,61,-,-,-,13
"S01008856",296,30,211,51,-,-,1,3
"S01008857",434,22,383,19,-,-,-,10
"S01008858",328,20,280,24,-,-,-,4
"S01008859",712,40,531,125,2,-,2,12
"S01008860",500,32,431,32,-,-,-,5
"S01008861",349,8,318,17,1,-,1,4
"S01008862",561,45,420,86,2,-,2,6
"S01008863",392,16,344,27,-,-,-,5
"S01008864",410,13,312,77,2,-,1,5
"S01008865",455,27,358,63,1,-,-,6
"S01008866",467,23,408,26,-,-,-,10
"S01008867",421,20,361,37,1,-,-,2
"S01008868",391,27,291,65,-,-,1,7
"S01008869",615,20,486,100,-,-,3,6
"S01008870",426,24,325,72,-,-,-,5
"S01008871",503,7,449,37,-,-,-,10
"S01008872",401,8,350,34,1,-,2,6
"S01008873",334,10,292,20,3,-,-,9
"S01008874",514,4,420,84,-,-,2,4
"S01008875",502,30,365,98,-,-,1,8
"S01008876",291,4,214,70,-,-,-,3
"S01008877",243,3,218,17,-,-,1,4
"S01008878",459,9,414,25,1,-,-,10
"S01008879",411,10,380,15,-,-,-,6
"S01008880",291,2,277,7,-,-,-,5
"S01008881",264,10,220,31,1,-,-,2
"S01008882",401,7,381,7,1,-,-,5
"S01008883",362,3,335,16,2,-,2,4
"S01008884",316,6,275,31,-,-,-,4
"S01008885",345,2,321,12,-,-,2,8
"S01008886",425,5,363,51,-,-,2,4
"S01008887",358,8,302,45,-,-,3,-
"S01008888",373,2,298,64,-,-,-,9
"S01008889",267,5,240,20,-,-,-,2
"S01008890",308,4,283,15,-,-,-,6
"S01008891",329,5,306,12,2,-,-,4
"S01008892",533,6,322,182,1,-,15,7
"S01008893",353,5,328,13,-,1,1,5
"S01008894",337,1,317,14,-,-,2,3
"S01008895",301,5,287,2,-,-,3,4
"S01008896",208,-,206,2,-,-,-,-
"S01008897",304,2,301,1,-,-,-,-
"S01008898",331,2,317,6,1,-,-,5
"S01008899",389,6,361,13,-,-,1,8
"S01008900",415,16,373,17,1,1,-,7
"S01008901",374,8,331,24,-,-,-,11
"S01008902",485,23,410,37,-,-,2,13
"S01008903",463,8,385,57,-,1,3,9
"S01008904",431,13,346,50,-,1,1,20
"S01008905",510,49,220,219,-,1,1,20
"S01008906",386,14,215,141,-,-,-,16
"S01008907",249,1,213,20,-,-,-,15
"S01008908",421,7,367,31,-,-,-,16
"S01008909",347,13,305,26,-,-,-,3
"S01008910",211,10,180,19,1,-,-,1
"S01008911",432,3,397,16,-,-,-,16
"S01008912",333,2,319,6,-,-,3,3
"S01008913",272,12,238,19,-,-,-,3
"S01008914",398,6,368,13,-,-,-,11
"S01008915",236,1,230,2,-,2,-,1
"S01008916",593,8,500,65,-,-,1,19
"S01008917",379,7,299,51,-,-,1,21
"S01008918",293,3,258,14,-,-,1,17
"S01008919",264,8,223,15,-,-,-,18
"S01008920",586,7,440,90,2,1,32,14
"S01008921",375,8,319,25,-,-,1,22
"S01008922",400,16,336,33,-,-,2,13
"S01008923",394,17,325,45,1,-,-,6
"S01008924",372,12,326,23,-,-,-,11
"S01008925",266,25,97,127,3,-,2,12
"S01008926",242,1,234,6,-,-,-,1
"S01008927",416,-,388,15,-,-,-,13
"S01008928",298,3,259,19,-,2,7,8
"S01008929",475,30,53,385,-,-,1,6
"S01008930",427,6,271,127,1,-,1,21
"S01008931",339,13,274,40,-,-,1,11
"S01008932",404,9,159,229,-,-,-,7
"S01008933",289,5,222,46,-,-,2,14
"S01008934",354,11,294,29,-,-,8,12
"S01008935",377,11,295,68,2,-,-,1
"S01008936",157,2,146,4,1,-,-,4
"S01008937",424,21,360,39,-,-,-,4
"S01008938",285,3,276,2,1,-,-,3
"S01008939",323,3,299,17,-,-,1,3
"S01008940",255,3,242,6,1,-,1,2
"S01008941",350,8,312,23,1,-,2,4
"S01008942",333,7,259,64,1,-,-,2
"S01008943",340,-,322,16,1,-,-,1
"S01008944",429,6,348,66,1,-,2,6
"S01008945",299,1,283,6,3,1,1,4
"S01008946",397,7,337,43,1,-,1,8
"S01008947",449,1,369,76,1,-,1,1
"S01008948",285,6,270,6,-,-,-,3
"S01008949",393,10,364,13,-,-,-,6
"S01008950",420,7,394,14,-,-,-,5
"S01008951",435,15,393,17,-,-,-,10
"S01008952",421,10,366,32,-,-,4,9
"S01008953",424,13,380,25,-,-,1,5
"S01008954",434,7,384,28,-,-,2,13
"S01008955",282,9,240,29,-,-,1,3
"S01008956",406,27,325,49,-,-,1,4
"S01008957",429,3,384,37,-,-,-,5
"S01008958",404,6,284,110,-,-,2,2
"S01008959",380,3,349,19,-,-,5,4
"S01008960",328,3,316,4,-,1,-,4
"S01008961",319,11,279,24,-,-,-,5
"S01008962",275,4,251,18,-,-,-,2
"S01008963",349,6,298,40,1,-,-,4
"S01008964",211,2,196,6,2,-,-,5
"S01008965",321,2,308,3,-,2,1,5
"S01008966",252,1,244,5,1,-,-,1
"S01008967",430,3,413,8,-,1,-,5
"S01008968",398,2,379,11,1,-,1,4
"S01008969",460,6,432,14,-,-,1,7
"S01008970",438,7,403,19,-,-,-,9
"S01008971",273,3,268,2,-,-,-,-
"S01008972",304,3,288,8,1,-,-,4
"S01008973",361,4,343,7,-,-,1,6
"S01008974",374,13,314,43,-,-,-,4
"S01008975",449,9,324,113,1,-,-,2
"S01008976",212,3,199,8,-,-,-,2
"S01008977",256,4,229,17,-,-,5,1
"S01008978",252,8,226,11,-,1,-,6
"S01008979",308,4,286,13,-,-,-,5
"S01008980",334,5,316,11,-,-,-,2
"S01008981",316,5,300,9,1,-,-,1
"S01008982",352,7,316,24,-,-,1,4
"S01008983",314,15,238,57,1,-,1,2
"S01008984",227,9,195,20,-,-,-,3
"S01008985",326,14,268,37,-,-,-,7
"S01008986",343,7,315,16,-,1,-,4
"S01008987",330,1,317,7,-,-,-,5
"S01008988",481,12,419,37,1,-,-,12
"S01008989",323,13,293,12,2,-,-,3
"S01008990",383,19,338,16,1,-,1,8
"S01008991",381,7,312,55,1,1,2,3
"S01008992",270,9,212,45,-,-,-,4
"S01008993",476,12,266,99,61,15,9,14
"S01008994",337,5,314,6,2,2,4,4
"S01008995",352,9,310,18,2,3,1,9
"S01008996",251,8,216,9,7,1,4,6
"S01008997",411,9,322,16,46,3,7,8
"S01008998",236,12,151,66,-,1,-,6
"S01008999",411,6,337,60,1,1,-,6
"S01009000",393,4,326,35,23,3,1,1
"S01009001",323,3,315,2,1,-,1,1
"S01009002",348,7,238,45,40,4,1,13
"S01009003",394,9,365,13,2,-,-,5
"S01009004",270,1,248,18,-,-,-,3
"S01009005",327,8,270,44,-,-,-,5
"S01009006",318,2,266,42,1,-,4,3
"S01009007",290,7,257,16,2,-,-,8
"S01009008",445,9,375,51,-,3,1,6
"S01009009",252,6,217,24,-,-,1,4
"S01009010",404,6,342,51,-,-,1,4
"S01009011",319,2,305,6,-,-,1,5
"S01009012",296,5,276,13,1,-,-,1
"S01009013",363,3,337,12,5,-,2,4
"S01009014",284,10,4,114,111,25,2,18
"S01009015",303,10,9,93,143,20,5,23
"S01009016",250,5,7,67,107,24,1,39
"S01009017",278,6,5,95,108,29,3,32
"S01009018",326,8,19,69,149,49,2,30
"S01009019",221,4,6,63,100,24,2,22
"S01009020",366,12,6,185,123,17,2,21
"S01009021",344,15,13,65,172,39,5,35
"S01009022",447,16,15,107,174,67,9,59
"S01009023",435,21,8,103,191,47,2,63
"S01009024",476,17,11,182,160,61,6,39
"S01009025",433,20,8,74,214,53,2,62
"S01009026",411,6,16,83,204,41,3,58
"S01009027",373,17,6,64,189,41,3,53
"S01009028",232,4,15,45,103,23,5,37
"S01009029",286,11,5,46,133,40,4,47
"S01009030",321,9,6,52,160,29,21,44
"S01009031",356,12,4,84,176,39,6,35
"S01009032",299,10,9,55,148,24,6,47
"S01009033",359,21,8,62,190,24,5,49
"S01009034",283,8,6,67,138,21,1,42
"S01009035",381,7,6,86,207,29,4,42
"S01009036",437,5,10,115,209,39,11,48
"S01009037",367,4,11,110,182,10,9,41
"S01009038",440,4,12,145,201,34,10,34
"S01009039",313,5,59,144,57,30,1,17
"S01009040",338,4,227,73,27,3,1,3
"S01009041",503,9,279,159,29,7,4,16
"S01009042",401,10,179,125,54,14,1,18
"S01009043",293,3,189,68,14,5,1,13
"S01009044",412,10,288,77,20,3,1,13
"S01009045",287,4,81,76,94,18,3,11
"S01009046",363,2,12,91,196,25,6,31
"S01009047",336,7,10,82,175,23,8,31
"S01009048",348,12,10,57,203,10,6,50
"S01009049",274,14,4,71,136,19,5,25
"S01009050",370,3,303,15,29,9,4,7
"S01009051",292,1,265,20,-,2,-,4
"S01009052",305,1,283,13,2,-,1,5
"S01009053",259,1,243,6,1,1,-,7
"S01009054",249,2,233,11,1,-,1,1
"S01009055",361,3,266,16,47,9,15,5
"S01009056",217,2,183,28,-,2,-,2
"S01009057",282,1,255,21,-,1,1,3
"S01009058",385,3,342,30,1,1,-,8
"S01009059",347,1,323,9,1,1,1,11
"S01009060",188,-,176,4,2,2,3,1
"S01009061",326,1,314,9,-,-,-,2
"S01009062",298,1,261,34,-,-,-,2
"S01009063",291,1,273,8,1,-,1,7
"S01009064",264,2,241,14,1,-,2,4
"S01009065",328,11,246,65,2,2,-,2
"S01009066",319,1,289,21,-,1,2,5
"S01009067",302,1,287,5,-,-,-,9
"S01009068",386,3,364,15,-,1,-,3
"S01009069",249,1,237,8,3,-,-,-
"S01009070",269,-,253,11,3,-,-,2
"S01009071",228,1,191,9,17,2,4,4
"S01009072",199,2,187,2,1,-,1,6
"S01009073",251,2,238,3,-,3,1,4
