Scotland's Census 2011 - National Records of Scotland
Table QS415SC - Central heating
All occupied household spaces

,"All occupied household spaces","No central heating","Gas central heating","Electric (including storage heaters) central heating","Oil central heating","Solid fuel (for example wood, coal) central heating","Other central heating","Two or more types of central heating"
"S01007088",247,2,229,5,2,2,-,7
"S01007089",217,3,195,4,8,2,-,5
"S01007090",243,10,198,26,2,-,-,7
"S01007091",280,1,266,4,3,-,-,6
"S01007092",307,5,190,107,3,-,1,1
"S01007093",417,9,350,44,2,-,2,10
"S01007094",354,1,327,5,15,1,-,5
"S01007095",209,5,45,14,124,8,-,13
"S01007096",316,10,24,89,170,10,3,10
"S01007097",188,9,85,4,71,6,5,8
"S01007098",288,1,140,10,113,7,8,9
"S01007099",338,7,223,37,56,4,3,8
"S01007100",298,6,11,84,169,9,7,12
"S01007101",342,4,252,64,14,1,-,7
"S01007102",260,12,41,13,155,16,3,20
"S01007103",330,5,236,55,24,1,2,7
"S01007104",197,9,28,18,119,12,1,10
"S01007105",238,3,194,23,8,3,-,7
"S01007106",319,8,235,40,20,10,-,6
"S01007107",256,10,53,14,150,9,6,14
"S01007108",226,10,16,18,157,7,7,11
"S01007109",371,5,16,163,106,71,2,8
"S01007110",324,6,14,72,147,68,7,10
"S01007111",225,8,16,37,121,34,4,5
